Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 24 Jul 2016 (W29),Palmeiras SP (16),0-1,?,Atlético MG (16)
?,(Sun) 24 Jul 2016 (W29),Ponte Preta (16),2-2,?,Internacional Porto Alegre (16)
?,(Sun) 24 Jul 2016 (W29),Atlético PR (16),1-0,?,Fluminense RJ (16)
?,(Sun) 24 Jul 2016 (W29),Chapecoense (16),2-1,?,Botafogo RJ (16)
?,(Sun) 24 Jul 2016 (W29),Cruzeiro MG (16),1-2,?,Sport Recife (16)
?,(Sun) 24 Jul 2016 (W29),Grêmio RS (16),1-0,?,São Paulo FC (16)
?,(Sun) 24 Jul 2016 (W29),EC Vitória (16),2-3,?,Santos SP (16)
?,(Tue) 26 Jul 2016 (W30),Flamengo RJ (16),2-1,?,América MG (16)
?,(Sat) 30 Jul 2016 (W30),Figueirense (17),1-0,?,EC Vitória (17)
?,(Sat) 30 Jul 2016 (W30),Sport Recife (17),2-0,?,Atlético PR (17)
?,(Sun) 31 Jul 2016 (W30),Atlético MG (17),3-0,?,Santa Cruz (17)
?,(Sun) 31 Jul 2016 (W30),Fluminense RJ (17),3-0,?,Ponte Preta (17)
?,(Sun) 31 Jul 2016 (W30),São Paulo FC (17),2-2,?,Chapecoense (17)
?,(Sun) 31 Jul 2016 (W30),Coritiba PR (17),0-2,?,Flamengo RJ (17)
?,(Sun) 31 Jul 2016 (W30),Internacional Porto Alegre (17),0-1,?,Corinthians SP (17)
?,(Sun) 31 Jul 2016 (W30),Santos SP (17),2-0,?,Cruzeiro MG (17)
?,(Sun) 31 Jul 2016 (W30),América MG (17),0-0,?,Grêmio RS (17)
?,(Sun) 31 Jul 2016 (W30),Botafogo RJ (17),3-1,?,Palmeiras SP (17)
?,(Wed) 3 Aug 2016 (W31),Sport Recife (18),1-1,?,América MG (18)
?,(Wed) 3 Aug 2016 (W31),EC Vitória (18),3-1,?,Coritiba PR (18)
?,(Thu) 4 Aug 2016 (W31),Atlético PR (18),2-0,?,Corinthians SP (18)
?,(Thu) 4 Aug 2016 (W31),Santos SP (18),0-0,?,Flamengo RJ (18)
?,(Thu) 4 Aug 2016 (W31),Ponte Preta (18),2-0,?,Botafogo RJ (18)
?,(Thu) 4 Aug 2016 (W31),Grêmio RS (18),0-0,?,Santa Cruz (18)
?,(Thu) 4 Aug 2016 (W31),São Paulo FC (18),1-2,?,Atlético MG (18)
?,(Fri) 5 Aug 2016 (W31),Cruzeiro MG (18),4-2,?,Internacional Porto Alegre (18)
?,(Fri) 5 Aug 2016 (W31),Chapecoense (18),1-1,?,Palmeiras SP (18)
?,(Sat) 6 Aug 2016 (W31),Flamengo RJ (19),1-0,?,Atlético PR (19)
?,(Sun) 7 Aug 2016 (W31),América MG (19),1-0,?,Santos SP (19)
?,(Sun) 7 Aug 2016 (W31),Coritiba PR (19),3-1,?,Ponte Preta (19)
?,(Sun) 7 Aug 2016 (W31),Palmeiras SP (19),2-1,?,EC Vitória (19)
?,(Sun) 7 Aug 2016 (W31),Internacional Porto Alegre (19),2-2,?,Fluminense RJ (18)
?,(Sun) 7 Aug 2016 (W31),Santa Cruz (19),1-2,?,São Paulo FC (19)
?,(Sun) 7 Aug 2016 (W31),Figueirense (18),1-1,?,Sport Recife (19)
?,(Tue) 9 Aug 2016 (W32),Atlético MG (19),3-1,?,Chapecoense (19)
?,(Tue) 9 Aug 2016 (W32),Corinthians SP (19),1-1,?,Cruzeiro MG (19)
?,(Sat) 13 Aug 2016 (W32),Sport Recife (20),1-0,?,Flamengo RJ (20)
?,(Sat) 13 Aug 2016 (W32),Ponte Preta (20),2-0,?,Figueirense (19)
?,(Sun) 14 Aug 2016 (W32),Fluminense RJ (19),1-0,?,América MG (20)
?,(Sun) 14 Aug 2016 (W32),Grêmio RS (19),3-0,?,Corinthians SP (20)
?,(Sun) 14 Aug 2016 (W32),Cruzeiro MG (20),2-2,?,Coritiba PR (20)
?,(Sun) 14 Aug 2016 (W32),Santos SP (20),3-0,?,Atlético MG (20)
?,(Sun) 14 Aug 2016 (W32),EC Vitória (20),2-2,?,Santa Cruz (20)
?,(Sun) 14 Aug 2016 (W32),São Paulo FC (20),0-1,?,Botafogo RJ (19)
?,(Sun) 14 Aug 2016 (W32),Atlético PR (20),0-1,?,Palmeiras SP (20)
?,(Tue) 16 Aug 2016 (W33),Chapecoense (20),1-0,?,Internacional Porto Alegre (20)
?,(Sat) 20 Aug 2016 (W33),América MG (21),1-2,?,Chapecoense (21)
?,(Sun) 21 Aug 2016 (W33),Botafogo RJ (20),3-0,?,Sport Recife (21)
?,(Sun) 21 Aug 2016 (W33),Atlético MG (21),1-0,?,Atlético PR (21)
?,(Sun) 21 Aug 2016 (W33),Flamengo RJ (21),2-1,?,Grêmio RS (20)
?,(Sun) 21 Aug 2016 (W33),Internacional Porto Alegre (21),1-1,?,São Paulo FC (21)
?,(Sun) 21 Aug 2016 (W33),Palmeiras SP (21),2-2,?,Ponte Preta (21)
?,(Sun) 21 Aug 2016 (W33),Santa Cruz (21),0-1,?,Fluminense RJ (20)
